시도,시군구,시설명,주소,전화번호,팩스번호,홈페이지,주차가능대수,공-사설구분,빈소수,안치가능구수,식당,매점,주차장,유족대기실,장애인편의시설,운영종류
서울특별시,구로구,쉴낙원 서울제중장례식장,"서울특별시 구로구 새말로 60 (구로동, 제중요양병원)",02-1480-7121,,,0,사설,6,12,설치,설치,설치,설치,설치,병원
서울특별시,금천구,독산장례식장,서울특별시 금천구 시흥대로116길 5 (독산동),02-858-4444,,4444.ne.kr,0,사설,2,4,설치,설치,설치,설치,미설치,전문
서울특별시,금천구,쉴낙원서울장례식장,"서울특별시 금천구 서부샛길 732 (가산동, 서울장례식장)",02-2683-4444,,seoulfuneral.com/,60,사설,4,8,설치,설치,설치,설치,설치,전문
서울특별시,노원구,노원을지대학교병원장례식장,"서울특별시 노원구 한글비석로 68 (하계동, 을지병원)",02-970-8444,,funeral.eulji.or.kr/,0,사설,9,14,설치,설치,설치,설치,미설치,병원
서울특별시,노원구,더조은장례식장,"서울특별시 노원구 화랑로 323 지하1층, 지하3층 (월계동)",02-941-4444,02-909-4419,thejoeunfuneral.modoo.at,16,사설,4,19,설치,설치,설치,설치,미설치,병원
서울특별시,노원구,원자력병원장례식장,"서울특별시 노원구 노원로 75 (공릉동, 한국원자력의학원)",02-970-1288,,www.kcch.re.kr/funeral,815,공설,8,14,설치,설치,설치,설치,설치,병원
서울특별시,노원구,인제대학교상계백병원장례식장,"서울특별시 노원구 동일로 1342 (상계동, 상계백병원)",02-938-5320,02-932-0836,,0,사설,4,10,설치,설치,설치,미설치,미설치,병원
서울특별시,노원구,태릉성심장례식장,서울특별시 노원구 화랑로 425-8 (공릉동),02-976-8811,02-948-6863,sungsimfuneral.com/,60,사설,7,11,미설치,미설치,설치,미설치,미설치,전문
서울특별시,도봉구,한일병원장례식장,서울특별시 도봉구 우이천로 308한일병원장례식장 (쌍문동),02-901-3440,,www.hanilmed.net,0,사설,6,8,미설치,설치,설치,미설치,미설치,병원
서울특별시,동대문구,경희의료원장례식장,"서울특별시 동대문구 경희대로 23,경희의료원장례식장 (회기동, 경희의료원)",02-958-9721,,www.kmcf.co.kr/,500,사설,8,18,설치,설치,설치,설치,설치,병원
서울특별시,동대문구,삼육서울병원 추모관(구위생병원),서울특별시 동대문구 망우로 82 (휘경동),02-2215-4444,,www.memorial-hall.co.kr,0,사설,13,20,미설치,설치,설치,미설치,미설치,병원
서울특별시,동대문구,서울특별시 동부병원 장례식장,"서울특별시 동대문구 무학로 124 (용두동, 시립동부병원)",02-920-9445,02-920-9219,www.dbhosp.go.kr/info/info_09.jsp,157,공설,5,10,미설치,미설치,설치,설치,설치,병원
서울특별시,동대문구,코리아병원장례식장,서울특별시 동대문구 장한로 143 (장안동),02-2244-0330,,koreafuneral.igweb.kr,10,사설,4,6,설치,설치,설치,설치,미설치,병원
서울특별시,동작구,서울특별시보라매병원장례식장,"서울특별시 동작구 보라매로5길 20 (신대방동, 서울특별시보라매병원)",02-836-6900,,funeral.brmh.org,2,공설,10,22,설치,설치,설치,미설치,미설치,병원
서울특별시,동작구,중앙대학교병원장례식장,"서울특별시 동작구 흑석로 102 (흑석동, 중앙대학교병원)",02-860-3500,,ch.caumc.or.kr/funeral/,0,사설,7,12,설치,설치,설치,설치,설치,병원
서울특별시,서대문구,동신병원장례식장,서울특별시 서대문구 연희로 272 (홍은동),02-395-1024,,www.dshospital.co.kr,80,사설,3,10,미설치,미설치,설치,미설치,미설치,병원
서울특별시,서대문구,연세대학교 신촌장례식장,"서울특별시 서대문구 연세로 50-1 (신촌동, 연세의료원)",02-2227-7500,,www.yonseifuneral.com,0,사설,18,40,설치,설치,설치,설치,설치,병원
서울특별시,서초구,서울성모장례식장,"서울특별시 서초구 반포대로 222 (반포동, 가톨릭대학교성의교정)",02-2258-5940,02-2258-5943,kfh.catholicfuneral.co.kr,0,사설,17,32,설치,설치,설치,설치,미설치,병원
서울특별시,성동구,한양대학병원장례식장,"서울특별시 성동구 왕십리로 222-1 (사근동, 한양대학부속병원)",02-2290-9442,,hyfuneral.com,300,사설,9,20,설치,설치,설치,설치,설치,병원
서울특별시,성북구,고려대학교안암병원장례식장,서울특별시 성북구 안암동5가  126-1 고대안암병원장례식장,02-923-4442,,www.funeral.or.kr,300,사설,11,22,설치,설치,설치,설치,설치,병원
서울특별시,성북구,뉴타운장례식장,서울특별시 성북구 종암로 199 (하월곡동),02-909-4444,,www.newtownfuneral.co.kr,0,사설,10,20,미설치,미설치,설치,미설치,미설치,전문
서울특별시,송파구,경찰병원장례식장,"서울특별시 송파구 송이로 123 (가락동, 국립경찰병원)",02-431-4400,,www.nph.go.kr/nph/main/contents.do?menuNo=200030,130,공설,7,12,설치,설치,설치,설치,미설치,병원
서울특별시,송파구,서울아산병원 장례식장,"서울특별시 송파구 올림픽로43길 88 (풍납동, 서울아산병원)",02-3010-2000,,funeral.amc.seoul.kr,2565,사설,20,38,설치,설치,설치,설치,설치,병원
서울특별시,양천구,메디힐병원장례식장,서울특별시 양천구 남부순환로 331 (신월동),02-2601-7500,,WWW.mediheal.co.kr/hall,0,사설,7,10,설치,설치,설치,설치,설치,병원
서울특별시,양천구,양천효병원장례식장,서울특별시 양천구 오목로 121 (신정동),02-2692-4443,,,13,사설,3,6,설치,설치,미설치,미설치,미설치,병원
서울특별시,양천구,이대목동병원장례식장,"서울특별시 양천구 안양천로 1071 (목동, 이화여대목동병원)",02-2650-5121,,www.eumc.ac.kr/mokdong,725,사설,10,28,설치,설치,설치,설치,설치,병원
서울특별시,양천구,홍익병원장례식장,서울특별시 양천구 등촌로 22 (목동),02-2600-1444,,www.hihfuneral.or.kr,100,사설,5,8,설치,설치,설치,설치,미설치,병원
서울특별시,영등포구,교원예움 서서울장례식장,"서울특별시 영등포구 선유로 101,교원예움서서울장례식장 (양평동1가)",02-2676-4444,,gw.kyowonlife.co.kr,50,사설,6,11,설치,설치,설치,설치,설치,전문
서울특별시,영등포구,복지장례문화원,서울특별시 영등포구 도림로 142 (대림동),02-846-4444,02-834-8950,www.e-bokji.com/,40,사설,9,22,설치,설치,설치,설치,설치,전문
서울특별시,영등포구,성애장례식장,"서울특별시 영등포구 여의대방로53길 22 (신길동, 성애병원)",02-844-4444,,,300,사설,4,8,미설치,설치,설치,설치,설치,병원
서울특별시,영등포구,신화장례식장,"서울특별시 영등포구 영중로 100(영등포동7가, 신화요양병원)",02-2679-1122,02-2675-4424,www.shmemory.com,150,사설,5,8,설치,설치,설치,설치,설치,전문
서울특별시,영등포구,여의도성모장례식장,"서울특별시 영등포구 63로 10 (여의도동, 여의도성모병원)",02-3779-1526,02-3779-2154,yfh.catholicfuneral.co.kr,0,사설,6,12,설치,설치,설치,설치,미설치,병원
서울특별시,영등포구,영등포장례식장,"서울특별시 영등포구 당산로31길 6 (당산동3가, 영등포병원)",02-2679-4444,02-2633-5406,02-2679-4444.font114.com,300,사설,6,17,설치,설치,설치,설치,미설치,병원
서울특별시,영등포구,한강성심병원장례식장,"서울특별시 영등포구 국회대로56길 18,한강성심병원5별관지하1층 (영등포동7가, 한강성심병원)",02-2633-4455,,hangang.hallym.or.kr/hallymuniv_sub.asp?screen=ptm907,500,사설,5,12,설치,설치,설치,설치,설치,병원
서울특별시,영등포구,한림대 강남성심병원장례식장,"서울특별시 영등포구 신길로 1 (대림동, 강남성심병원)",02-833-3794,,kangnam.hallym.or.kr,0,사설,2,8,설치,설치,설치,설치,설치,병원
서울특별시,용산구,순천향서울장례식장,"서울특별시 용산구 대사관로 59 (한남동, 순천향대학병원)",02-797-4444,,,130,사설,8,14,미설치,미설치,미설치,미설치,미설치,병원
서울특별시,은평구,가톨릭대학교 은평성모장례식장,"서울특별시 은평구 통일로 1021,은평성모장례식장 (진관동)",02-2030-4444,02-2030-4443,epfh.catholicfuneral.co.kr/cmm/main/mainPage.do,300,사설,10,23,설치,설치,설치,설치,미설치,병원
서울특별시,은평구,은평요양병원장례식장,"서울특별시 은평구 통일로 935,은평요양병원장례식장 (갈현동)",02-351-4444,,www.epyoyang.co.kr,80,사설,6,12,설치,설치,설치,설치,설치,병원
서울특별시,은평구,청구성심병원장례식장,"서울특별시 은평구 통일로 873 (갈현동, 청구성심병원)",02-352-4445,02-357-4019,www.cgss.co.kr/page.php?pageIndex=110107104,60,사설,4,6,설치,설치,설치,설치,설치,병원
서울특별시,종로구,서울대학교병원장례식장,"서울특별시 종로구 대학로 101,서울대학교병원 (연건동)",02-2072-2020,02-762-4440,funeral.snuh.org,0,사설,13,24,설치,설치,설치,설치,미설치,병원
서울특별시,종로구,서울적십자병원장례식장,"서울특별시 종로구 새문안로 9 (평동, 적십자병원)",02-2002-8444,02-2002-8940,www.rch.or.kr/seoul/funeral/,100,사설,6,12,설치,설치,설치,미설치,미설치,병원
서울특별시,중구,국립중앙의료원 장례식장,"서울특별시 중구 을지로 245 (을지로6가, 국립중앙의료원)",02-2262-4800,02-2262-4806,nmc.or.kr/fnrl/main/main.do,260,공설,11,31,설치,설치,설치,설치,설치,병원
서울특별시,중랑구,면목녹색병원 장례식장,"서울특별시 중랑구 사가정로49길 53장례식장 (면목동, 원진재단부설녹색병원)",02-493-4444,02-493-4441,www.greenhospital.co.kr/sub08/sub10.php,100,사설,4,8,설치,설치,설치,설치,설치,병원
서울특별시,중랑구,서울특별시 서울의료원 장례식장,서울특별시 중랑구 신내로 156후문 (장례식장) ,02-2276-7671,02-2276-7672,as.seoulmc.or.kr/funeral/,0,공설,9,40,설치,설치,설치,설치,설치,병원
부산광역시,강서구,갑을녹산병원장례식장,"부산광역시 강서구 녹산산단321로 24-8 (송정동, 갑을녹산병원)",051-972-1024,,blog.naver.com/dy2858,200,사설,3,4,설치,설치,설치,설치,설치,병원
부산광역시,금정구,강산병원장례식장,부산광역시 금정구 공단로 7강산병원장례식장 (금사동),051-532-9119,,www.gang-san.kr/002/c09_01.php,50,사설,3,4,설치,설치,설치,설치,설치,병원
부산광역시,금정구,금사장례식장,부산광역시 금정구 반송로 470 (금사동),051-977-4445,,,50,사설,3,6,설치,설치,설치,설치,미설치,병원
부산광역시,금정구,동래한서병원장례식장,부산광역시 금정구 중앙대로 1721 (부곡동),051-582-1041,,,150,사설,4,6,설치,설치,설치,설치,미설치,병원
부산광역시,금정구,부산영락공원장례식장,"부산광역시 금정구 금정도서관로 108 (두구동, 영락공원)",051-790-5000,,www.yeongnakpark.or.kr,118,공설,10,18,설치,설치,설치,설치,설치,전문
부산광역시,금정구,세웅병원장례식장,부산광역시 금정구 서동로 162 (서동),051-527-7711,051-527-7764,,0,사설,3,4,설치,설치,설치,설치,설치,병원
부산광역시,금정구,행림병원 장례식장,"부산광역시 금정구 중앙대로 1905(행림병원장례식장) (구서동, 행림병원)",051-582-1024,,,100,사설,2,4,설치,설치,설치,설치,미설치,병원
부산광역시,기장군,기장병원장례식장,"부산광역시 기장군 기장읍 대청로72번길 6 (청강리, 기장병원)",051-724-1024,,www.gjhp.kr,0,사설,5,6,설치,설치,설치,설치,미설치,병원
부산광역시,기장군,동남권원자력의학원장례식장,"부산광역시 기장군 장안읍 좌동길 40 (좌동리, 동남권원자력의학원)",051-720-5421,,www.dirams.re.kr/funeral/Main.do,600,사설,6,12,설치,설치,설치,설치,미설치,병원
부산광역시,남구,대연장례식장,부산광역시 남구 수영로 164 (대연동),051-711-4448,,,100,사설,3,6,설치,설치,설치,설치,설치,병원
부산광역시,남구,부산성모병원장례식장,부산광역시 남구 용호로232번길 25-14 (용호동),051-933-7480,,,0,사설,5,16,설치,설치,설치,미설치,설치,병원
부산광역시,동구,인창병원장례식장,부산광역시 동구 중앙대로 281 (초량동),051-464-5858,,,0,사설,9,12,설치,설치,설치,설치,설치,병원
부산광역시,동구,좌천봉생병원장례식장,부산광역시 동구 중앙대로 401 (좌천동),051-638-4411,,,200,사설,3,6,설치,설치,설치,설치,설치,병원
부산광역시,동구,청십자병원장례식장,부산광역시 동구 중앙대로 364 (수정동),051-469-1024,,,17,사설,3,4,설치,설치,설치,설치,미설치,병원
부산광역시,동래구,(주)장례식장아시아드 ,부산광역시 동래구 여고로 42 (사직동),051-503-0770,,www.asiadfuneral.co.kr,50,사설,7,10,설치,설치,설치,설치,설치,전문
부산광역시,동래구,(주)착한전문장례식장,"부산광역시 동래구 반송로 183 (낙민동, RP안락점)",051-987-1024,051-987-1025,www.착한전문장례식장.com/,120,사설,9,20,설치,설치,설치,설치,설치,전문
부산광역시,동래구,대동병원장례식장,"부산광역시 동래구 충렬대로181번길 22 (지하1층, 2층) ",051-550-9991,,daedong9992.modoo.at,0,사설,7,10,설치,설치,설치,설치,미설치,병원
부산광역시,동래구,동래봉생병원장례식장,"부산광역시 동래구 충렬대로348번길 23 (낙민동, 설봉빌딩)",051-531-7100,,bsdr7100.fordining.kr,0,사설,8,10,설치,설치,설치,미설치,설치,병원
부산광역시,동래구,빌리브 세웅병원 쉴낙원 장례식장,부산광역시 동래구 충렬대로 455 (안락동),051-521-3740,,believesewoong.co.kr,0,사설,5,10,설치,설치,설치,설치,설치,병원
부산광역시,동래구,성산현대요양병원장례식장,"부산광역시 동래구 시실로 12,B1층 (명륜동, 현대병원)",051-552-1024,,,10,사설,2,4,미설치,미설치,설치,설치,미설치,병원
부산광역시,동래구,프라임장례원,"부산광역시 동래구 미남로146번길 11 (온천동, 광혜병원장례식장)",051-506-1022,,,8,사설,5,6,설치,설치,설치,설치,설치,병원
부산광역시,부산진구,(주)시민장례식장,부산광역시 부산진구 자유평화로 31 (범천동),051-636-4444,,www.siminf.co.kr,300,사설,18,34,설치,설치,설치,설치,설치,전문
부산광역시,부산진구,동의의료원장례식장,"부산광역시 부산진구 양정로 62,1층 (양정동,동의의료원) ",051-866-3757,,,0,사설,5,8,미설치,미설치,설치,미설치,미설치,병원
부산광역시,부산진구,부산백병원 장례식장,"부산광역시 부산진구 복지로 75 (개금동, 부산백병원)",051-896-4444,,,0,사설,7,14,설치,미설치,설치,설치,설치,병원
부산광역시,부산진구,수장례식장,"부산광역시 부산진구 동평로 401, 지하1층, 지하2층 (양정동)",051-853-1024,,,150,사설,6,8,설치,설치,설치,설치,설치,병원
부산광역시,부산진구,온병원 장례식장,부산광역시 부산진구 가야대로 721 (당감동),051-607-0111,,,0,사설,8,10,설치,설치,설치,설치,설치,병원
부산광역시,부산진구,춘해병원장례식장,부산광역시 부산진구 중앙대로 605 (범천동),051-638-0044,,,50,사설,1,4,설치,미설치,설치,설치,미설치,병원
부산광역시,북구,(주)비이케이더블유 좋은장례식장,"부산광역시 북구 금곡대로 586 (금곡동, 좋은리버뷰요양병원)",051-911-4444,,www.riverview.or.kr/,100,사설,4,10,설치,설치,설치,설치,미설치,병원
부산광역시,북구,한중프라임장례식장,부산광역시 북구 낙동대로 1596 (구포동),051-305-4000,,www.funein.com/hjprime/,0,사설,7,8,설치,미설치,설치,설치,설치,전문
부산광역시,사상구,(주)비이케이더블유 좋은삼선병원지점,"부산광역시 사상구 가야대로 326 (주례동, 좋은삼선병원)",051-310-9292,,www.samsun.or.kr,0,사설,5,6,설치,설치,설치,설치,설치,병원
부산광역시,사상구,부산보훈병원장례식장,"부산광역시 사상구 백양대로 420 (주례동, 부산보훈병원)",051-601-6785,,busan.bohun.or.kr,0,사설,9,14,설치,설치,설치,설치,미설치,병원
부산광역시,사상구,부산전문장례식장,"부산광역시 사상구 낙동대로 1056 (감전동, 부산전문장례예식장)",051-312-4444,,www.busanjanglye.co.kr,250,사설,12,16,설치,설치,설치,설치,설치,전문
부산광역시,사상구,삼신전문장례식장,부산광역시 사상구 대동로 261 (감전동),051-323-0044,,삼신전문장례식장.com,300,사설,9,12,설치,설치,설치,설치,설치,전문
부산광역시,사하구,경희병원장례식장,부산광역시 사하구 다대로 321 (장림동),051-266-4111,,,60,사설,2,6,설치,설치,설치,미설치,미설치,병원
부산광역시,사하구,괴정병원장례식장,부산광역시 사하구 낙동대로249번길 11 (괴정동),051-293-4382,,,40,사설,3,4,설치,설치,설치,설치,설치,병원
부산광역시,사하구,다대수병원장례식장,부산광역시 사하구 다대로 565 (다대동),051-264-3535,,,100,사설,3,4,설치,설치,설치,설치,미설치,병원
부산광역시,사하구,동산병원장례식장,부산광역시 사하구 낙동대로216번길 10 (괴정동),051-201-0909,,,0,사설,3,6,설치,설치,설치,설치,미설치,병원
부산광역시,사하구,사하구민장례식장,부산광역시 사하구 하신중앙로17번길 25 (장림동),051-715-4441,,"www.sahaguminfh,com",60,사설,5,8,설치,미설치,설치,설치,설치,전문
부산광역시,사하구,서부산시민장례식장,부산광역시 사하구 장림번영로 59 (장림동),051-264-0444,,부산장림장례식장.alltheway.kr,150,사설,4,4,설치,미설치,설치,설치,미설치,전문
부산광역시,사하구,자연병원장례식장,부산광역시 사하구 장평로 1 (장림동),051-262-1023,,,150,사설,3,8,설치,설치,설치,설치,미설치,병원
부산광역시,사하구,중앙U병원장례식장,부산광역시 사하구 감천로 59 (감천동),051-201-0468,,,80,사설,4,8,설치,설치,설치,설치,설치,병원
부산광역시,서구,고신대병원 장례식장,"부산광역시 서구 감천로 262 (암남동, 고신대학교복음병원)",051-990-6444,,,0,사설,8,14,미설치,미설치,미설치,미설치,미설치,병원
부산광역시,서구,동아대학교병원장례식장,"부산광역시 서구 대신공원로 26 (동대신동3가, 동아대학교병원)",051-256-7070,,funeral.damc.or.kr,0,사설,6,16,설치,설치,설치,설치,설치,병원
부산광역시,서구,부산대학교병원장례식장,"부산광역시 서구 구덕로 179 (아미동1가, 부산대학병원)",051-240-7161,,,405,사설,4,12,설치,설치,설치,미설치,미설치,병원
부산광역시,수영구,(주)비케이더블유 좋은강안병원지점,부산광역시 수영구 수영로 493 (남천동),051-610-9009,,www.gang-an.or.kr,205,사설,7,10,설치,설치,설치,설치,설치,병원
부산광역시,수영구,BHS한서병원장례식장,부산광역시 수영구 수영로 615 (광안동),051-751-1860,,,0,사설,4,10,미설치,설치,설치,설치,미설치,병원
부산광역시,수영구,남천장례식장,부산광역시 수영구 수영로 456 (남천동),051-626-4003,,,100,사설,3,4,설치,설치,설치,설치,미설치,병원
부산광역시,연제구,부산광역시의료원장례식장,"부산광역시 연제구 월드컵대로 359 (거제동, 부산의료원)",051-607-2990,,www.busanmc.or.kr,512,공설,10,22,설치,설치,설치,설치,설치,병원
부산광역시,영도구,정요양병원장례식장,"부산광역시 영도구 절영로 32 (대교동1가, 정요양병원)",051-410-1777,,www.jyyh.co.kr/sub2/07.php,60,사설,4,6,설치,설치,설치,설치,설치,병원
부산광역시,영도구,주식회사구민장례식장,부산광역시 영도구 절영로 16 (대교동1가),051-416-0004,,,63,사설,6,8,설치,설치,설치,설치,설치,전문
부산광역시,영도구,해동병원장례식장,부산광역시 영도구 태종로 133 (봉래동3가),051-410-6891,,,0,사설,3,6,설치,설치,설치,설치,설치,병원
부산광역시,중구,메리놀병원장례식장,부산광역시 중구 중구로 121 (대청동4가),051-465-1024,,,200,사설,3,6,설치,설치,설치,설치,미설치,병원
부산광역시,해운대구,반송장례식장,부산광역시 해운대구 반송로 832 (반송동),051-525-1024,,,17,사설,3,4,미설치,미설치,설치,설치,미설치,병원
부산광역시,해운대구,성심장례식장,"부산광역시 해운대구 좌동순환로 462 (중동, 성심병원)",051-747-5600,,,60,사설,2,4,미설치,설치,설치,설치,미설치,병원
부산광역시,해운대구,해운대백병원장례식장,"부산광역시 해운대구 해운대로 875 (좌동, 인제대학교해운대백병원)",051-893-4444,,paikfuneral.co.kr,1086,사설,8,14,설치,설치,설치,미설치,미설치,병원
대구광역시,군위군,군위농협장례식장,"대구광역시 군위군 군위읍 중앙길 165-6 (정리, 농협경제사업장)",054-383-2990,,,100,사설,3,4,설치,미설치,설치,설치,미설치,전문
대구광역시,남구,대구가톨릭대학교의료원 장례식장,"대구광역시 남구 두류공원로17길 33 (대명동, 대구가톨릭의과대학병원)",053-650-4444,,,1289,사설,11,22,설치,설치,설치,설치,설치,병원
대구광역시,남구,대구요양병원장례식장,"대구광역시 남구 현충로 184 (대명동, 대구요양병원)",053-624-8444,,,20,사설,3,6,설치,설치,설치,설치,설치,병원
대구광역시,남구,명덕효요양병원부속백화원,"대구광역시 남구 중앙대로 227 (대명동, 재건병원)",053-624-4444,,www.baekhwawon.kr,70,사설,4,6,미설치,미설치,설치,미설치,미설치,병원
대구광역시,남구,성심요양병원장례식장,대구광역시 남구 대명로 14 (대명동),053-651-1024,,,80,사설,3,4,미설치,미설치,설치,미설치,설치,병원
대구광역시,남구,영남대학교의료원 장례식장,대구광역시 남구 현충로 170 (대명동),053-620-4670,,yumc.ac.kr,1475,사설,9,18,설치,설치,설치,설치,설치,병원
대구광역시,달서구,계명대학교동산병원백합원,"대구광역시 달서구 달구벌대로 1035 (신당동, 계명대학교동산병원)",053-258-4444,,www.dsmc.or.kr/,1016,사설,9,18,설치,설치,설치,미설치,미설치,병원
대구광역시,달서구,구병원장례식장,대구광역시 달서구 감삼북길 141 (감삼동),053-524-4444,,www.goohospital.co.kr,230,사설,3,4,미설치,설치,설치,설치,미설치,병원
대구광역시,달서구,남대구전문장례식장,대구광역시 달서구 성서공단로 315 (장동),053-584-4444,,ndgfuneral.com/,300,사설,10,16,설치,미설치,설치,설치,설치,전문
대구광역시,달서구,대구기독병원장례식장,대구광역시 달서구 달구벌대로 1750 (두류동),053-627-4447,,,0,사설,2,3,설치,미설치,설치,설치,설치,병원
대구광역시,달서구,대구보훈병원장례식장,대구광역시 달서구 월곡로 60 (도원동 748번지),053-625-4466,,www.bohun.or.kr,524,사설,6,10,설치,설치,설치,설치,설치,병원
대구광역시,달서구,삼일병원장례식장,대구광역시 달서구 월배로 440 (송현동),053-219-1004,,,0,사설,6,10,미설치,미설치,미설치,미설치,미설치,병원
대구광역시,달서구,선진요양병원장례식장,대구광역시 달서구 월배로 446 (송현동),053-655-1110,,,80,사설,4,6,설치,설치,설치,설치,설치,병원
대구광역시,달서구,성서병원장례식장,"대구광역시 달서구 달구벌대로 1152, B2층 (신당동, 성서병원)",053-581-4444,,,0,사설,3,6,설치,설치,설치,설치,미설치,병원
대구광역시,달서구,성서요양병원장례식장,대구광역시 달서구 문화회관1안길 29 (장기동),053-582-0444,,ssfh.modoo.at,70,사설,2,4,설치,설치,설치,설치,설치,병원
대구광역시,달서구,송현장례식장,대구광역시 달서구 월배로 384 (송현동),053-621-4949,,,100,사설,4,6,설치,미설치,설치,설치,미설치,병원
대구광역시,달서구,에스병원장례식장,대구광역시 달서구 와룡로 57 (본리동),053-567-0909,,,50,사설,2,4,설치,설치,설치,설치,미설치,병원
대구광역시,달서구,중앙요양병원 장례식장(구.가야기독),대구광역시 달서구 월배로83길 14 (송현동),053-627-4444,,,120,사설,4,6,설치,미설치,설치,설치,설치,병원
대구광역시,달서구,한결장례식장,"대구광역시 달서구 대명천로 15 (성당동, 한결요양병원)",053-655-4444,,,70,사설,4,6,설치,설치,설치,설치,설치,병원
대구광역시,달서구,허병원장례식장,대구광역시 달서구 학산로 121 (본동),053-522-4300,,,200,사설,3,6,미설치,설치,설치,설치,설치,병원
대구광역시,달성군,(복)대구가톨릭사회복지회논공 장례식장,"대구광역시 달성군 논공읍 논공로 210, 성요셉요양병원장례식장 (남리)",053-617-3644,,,200,사설,5,8,설치,미설치,설치,설치,설치,병원
대구광역시,달성군,대구이로운전문장례식장,대구광역시 달성군 다사읍 달구벌대로 893 (매곡리),053-584-0044,053-584-1044,,81,사설,3,4,설치,설치,설치,설치,설치,전문
대구광역시,달성군,하나원전문장례식장,대구광역시 달성군 현풍면 논공로 96 (성하리),053-615-4000,,www.dshanawon.co.kr,500,사설,4,6,설치,미설치,설치,설치,설치,전문
대구광역시,달성군,현대S라이프(주)연세병원장례식장,대구광역시 달성군 화원읍 비슬로 2525 (성산리),053-644-1919,,,70,사설,3,6,미설치,설치,설치,설치,설치,병원
대구광역시,동구,강남병원장례식장,대구광역시 동구 동촌로 207 (방촌동),053-986-0044,053-986-0042,,0,사설,3,4,설치,설치,설치,미설치,미설치,병원
대구광역시,동구,대구전문장례식장,대구광역시 동구 금호강변로 71 (용계동),053-961-4444,,www.daegu-fn.com,0,사설,14,16,설치,설치,설치,미설치,설치,전문
